sentence_id,source_file,product_id,category,brand,product_name,rating,review_date,original_sentence,translated_sentence,emoji,emoji_sentiment,aspect_keywords,clean_sentence,relevant,text_sentiment,final_sentiment
1,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-26,The aligned taste is very good,,,,[],,,,
2,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-26,"Fast energy, eat full for a long time",,,,[],,,,
3,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-11-13,"Shop delivered quickly, carefully packed, evaluation is for receiving coins",,,,[],,,,
4,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-26,"Fast delivery, carefully packed, not too sweet taste",,,,[],,,,
5,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-10-21,"You are quite delicious and soft, there are small rice grains inside, eating at the end of the cake will find it a bit sweet",,,,[],,,,
6,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-04-04,"Haven't used it yet, so I don't know how it tastes and is effective, look at the quality cake",,,,[],,,,
7,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-27,Eat when lazy to drink whey,,,,[],,,,
8,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-27,"Less sweet, quite easy to eat",,,,[],,,,
9,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-23,"And the sweet fruit has come when EP Kho Bau and the song with the same topic with the same name marked the turning point to help him switch from a Performing Artist specializing in Performing, becoming a Streaming Artist that spreads the power",,,,[],,,,
10,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-23,Powerful in space space,,,,[],,,,
11,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-01-03,"Delicious, easy to eat",,,,[],,,,
12,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-01-03,"Whether it is easy to digest or not, it will be calculated later",,,,[],,,,
13,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-01-03,You can re-evaluate it,,,,[],,,,
14,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-09-21,Delicious but out of taste I want to buy,,,,[],,,,
15,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Seller fast response to order & fast post out item,,,,[],,,,
16,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Good packaging with box and bubblewrap,,,,[],,,,
17,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Fast delivery,,,,[],,,,
18,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Good quality,,,,[],,,,
19,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Long expiry date,,,,[],,,,
20,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Tastes quite sweet,,,,[],,,,
21,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Recommend to drink before or after activity,,,,[],,,,
22,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-08-06,Quality: as expected,,,,[],,,,
23,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-08-06,Effectiveness: as expected,,,,[],,,,
24,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-08-06,"Delivery fast with good packing, overall within expectations",,,,[],,,,
25,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-08-25,Quality: good,,,,[],,,,
26,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-08-25,Effectiveness: good,,,,[],,,,
27,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-08-25,Fast delivery,,,,[],,,,
28,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-08-25,Has been consuming this energy gel for long run since last year,,,,[],,,,
29,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-08-25,"I think energy gel of another brand works for me better since i have a chance to compare them on a back to back long run, cos i felt the sustained energy and sustain pace during a 15km run",,,,[],,,,
30,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-08-13,"Good packaging, product expiry mostly until 2026 only 1 product expire in Dec 2025, still good to go",,,,[],,,,
31,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-08-13,Only the delivery got delayed by 1 day,,,,[],,,,
32,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-06-10,Item well received,,,,[],,,,
33,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-06-10,First time purchased from the seller,,,,[],,,,
34,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-06-10,So far so good,,,,[],,,,
35,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-06-10,Highly recommended,,,,[],,,,
36,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-12-24,Quality: excellent,,,,[],,,,
37,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-12-24,Effectiveness: okay,,,,[],,,,
38,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-12-24,"Tastes too sweet to my liking, otherwise, acceptable energy gel",,,,[],,,,
39,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-07-31,Effectiveness: Superstar,,,,[],,,,
40,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-07-31,Quality: Superstar,,,,[],,,,
41,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-07-31,My second purchase from the seller,,,,[],,,,
42,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-07-31,Super fast delivery 🚚 Genuine product,,,,[],,,,
43,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-05-30,"Super fast delivery, recommended & reliable seller, will buy again",,,,[],,,,
44,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-05-10,"Sampai dengan selamat, tiada masalah",,,,[],,,,
45,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-05-10,Setakat ni belum cuba lagi,,,,[],,,,
46,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-05-10,Hopefully akan bg energy,,,,[],,,,
47,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-06-20,Wajib ade utk join HM FM,,,,[],,,,
48,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-06-20,bagi sy yg ni lagi cepat boost energy Rasa pun tak lekat dkt tekak,,,,[],,,,
49,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-05-31,Fast delivery and well packed👍,,,,[],,,,
50,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-10-09,Effectiveness: Excellant for long run,,,,[],,,,
51,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-10-09,Quality: Very Good,,,,[],,,,
52,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-06-09,Effectiveness: good,,,,[],,,,
53,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-06-09,Quality: excellent,,,,[],,,,
54,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-08-02,Good product 👍👍👍,,,,[],,,,
55,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-06-21,Effectiveness: first time bought,,,,[],,,,
56,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-06-21,Quality: received in a good condition,,,,[],,,,
57,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-06-21,Buy few to test it out,,,,[],,,,
58,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-06-20,Effectiveness: i feel good for me with cafane boost,,,,[],,,,
59,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-06-20,Quality: seller send out very fast all is good,,,,[],,,,
60,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-05-29,Effectiveness: Berefektif,,,,[],,,,
61,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-05-29,Quality: Berkualiti,,,,[],,,,
62,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-05-29,"Sebelum ambil pace 9, Selepas ambil pace 8:45, menginzalkan",,,,[],,,,
63,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-05-29,Rekomen👍,,,,[],,,,
64,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-06-11,Effectiveness: quite good,,,,[],,,,
65,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-06-11,Quality: not bad,,,,[],,,,
66,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-06-11,"I have tried tasted not so sweet ,easy to take as its in liquid form",,,,[],,,,
67,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-06-11,Not jelly,,,,[],,,,
